URL,Title,Price,City,Municipality,Area_m2,Rooms,Floor,Type,Condition,Heating,Parking_garage,Parking_outdoor,Price_per_m2
https://www.halooglasi.com/nekretnine/prodaja-stanova/surcin-centar-novogradnja-useljiv-id6808/5425645424055?kid=4,"Surčin, Centar, novogradnja, useljiv ID#6808",118000.0,Beograd,Surčin,65.49,2.5,II/2,Novogradnja,Ostalo,EG,0,0,1801.802
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-lux-nekretnina/5425645783523?kid=4,Izuzetna Lux nekretnina,699000.0,Beograd,Čukarica,252.0,5.0,IV/8,Ostalo,Lux,CG,1,1,2773.81
https://www.halooglasi.com/nekretnine/prodaja-stanova/ekskluzivno-novogradnja-kod-bdp-a-bez-provizi/5425646049968,Ekskluzivno! Novogradnja kod BDP-a. Bez Provizije,227010.0,Beograd,Zvezdara,64.86,3.0,III/8,Novogradnja,Lux,EG,1,1,3500.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/altina-novogradnja/5425645985317?kid=4,Altina Novogradnja,51000.0,Beograd,Zemun,30.0,1.0,II/3,Novogradnja,Lux,EG,0,0,1700.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-prilika-uknjizen-stan-u-rakovici/5425645980986?kid=4,"Izuzetna  prilika, uknjizen stan u Rakovici",139500.0,Beograd,Rakovica,56.0,3.0,I/3,Stara gradnja,Renovirano,Norveški radijatori,0,0,2491.071
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-stan-sa-pripadajucim-dvoristem-od-76-m-2/5425645688140?kid=4,Lux stan sa pripadajućim dvorištem od 76 M 2,150000.0,Beograd,Voždovac,40.0,1.5,VPR/4,Novogradnja,Lux,EG,0,1,3750.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/surcin-centar-novogradnja-useljiv-id6808/5425645424055?kid=4,"Surčin, Centar, novogradnja, useljiv ID#6808",118000.0,Beograd,Surčin,65.49,2.5,II/2,Novogradnja,Ostalo,EG,0,0,1801.802
https://www.halooglasi.com/nekretnine/prodaja-stanova/luks-apartman-45m-sa-saunom-bali-colloseum-ze/5425646054161?kid=4,Luks apartman 45m² sa saunom – Bali Colloseum Zemu,81000.0,Beograd,Zemun,45.0,1.0,II/5,Novogradnja,Lux,Norveški radijatori,0,1,1800.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/brzo-useljiva-novogradnja-jugozapad-miran-kra/5425646039234,Brzo Useljiva Novogradnja. Jugozapad. Miran kraj,193622.0,Beograd,Voždovac,74.64,3.0,II/6,Novogradnja,Lux,Podno,1,1,2594.078
https://www.halooglasi.com/nekretnine/prodaja-stanova/salonac-u-strogom-centru-odlicna-investicija/5425645692116?kid=4,"Salonac u strogom centru, odlična investicija",285000.0,Beograd,Stari grad,81.0,3.0,II/4,Ostalo,Ostalo,CG,0,0,3518.519
https://www.halooglasi.com/nekretnine/prodaja-stanova/jurija-gagarina-blok-63-novi-beograd-id8121/5425645884636?kid=4,"Jurija Gagarina, Blok 63, Novi Beograd ID#8121",162200.0,Beograd,Novi,53.0,2.0,VII/14,Ostalo,Ostalo,CG,0,0,3060.377
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-prilika-uknjizen-stan-u-rakovici/5425645980986?kid=4,"Izuzetna  prilika, uknjizen stan u Rakovici",139500.0,Beograd,Rakovica,56.0,3.0,I/3,Stara gradnja,Renovirano,Norveški radijatori,0,0,2491.071
https://www.halooglasi.com/nekretnine/prodaja-stanova/odlican-dvosoban-stan/5425645974893?kid=4,Odličan dvosoban stan,165000.0,Beograd,Voždovac,48.0,2.0,III/4,Ostalo,Ostalo,EG,0,0,3437.5
https://www.halooglasi.com/nekretnine/prodaja-stanova/apartman-35m-bali-colloseum-altina-lift-renta/5425646055679?kid=4,"Apartman 35m² – Bali Colloseum Altina, lift, renta",66500.0,Beograd,Zemun,35.0,0.5,II/5,Novogradnja,Lux,Norveški radijatori,0,1,1900.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/salonac-u-strogom-centru-odlicna-investicija/5425645692116?kid=4,"Salonac u strogom centru, odlična investicija",285000.0,Beograd,Stari grad,81.0,3.0,II/4,Ostalo,Ostalo,CG,0,0,3518.519
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-salonac---vlasnik---uknjizen/5425645983453?kid=4,Lux salonac - Vlasnik - Uknjižen,349000.0,Beograd,Stari grad,77.0,3.0,III/6,Stara gradnja,Lux,Toplotne pumpe,0,1,4532.468
https://www.halooglasi.com/nekretnine/prodaja-stanova/kvalitetna-novogradnja-dvostran-jugozapad/5425646042854,Kvalitetna Novogradnja. Dvostran. Jugozapad,204400.0,Beograd,Zvezdara,73.0,3.0,III/4,Novogradnja,Lux,EG,1,1,2800.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/ekskluzivno-novogradnja-kod-bdp-a-bez-provizi/5425646049968,Ekskluzivno! Novogradnja kod BDP-a. Bez Provizije,227010.0,Beograd,Zvezdara,64.86,3.0,III/8,Novogradnja,Lux,EG,1,1,3500.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/odlican-dvosoban-stan/5425645974893?kid=4,Odličan dvosoban stan,165000.0,Beograd,Voždovac,48.0,2.0,III/4,Ostalo,Ostalo,EG,0,0,3437.5
https://www.halooglasi.com/nekretnine/prodaja-stanova/cetvorosoban-stan-na-prodaju/5425646055696?kid=4,Četvorosoban stan na prodaju,255000.0,Beograd,Savski venac,120.0,4.0,VII/7,Stara gradnja,Renovirano,CG,0,1,2125.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-lux-nekretnina/5425645783523?kid=4,Izuzetna Lux nekretnina,699000.0,Beograd,Čukarica,252.0,5.0,IV/8,Ostalo,Lux,CG,1,1,2773.81
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-stan-sa-pripadajucim-dvoristem-od-76-m-2/5425645688140?kid=4,Lux stan sa pripadajućim dvorištem od 76 M 2,150000.0,Beograd,Voždovac,40.0,1.5,VPR/4,Novogradnja,Lux,EG,0,1,3750.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/jurija-gagarina-blok-63-novi-beograd-id8121/5425645884636?kid=4,"Jurija Gagarina, Blok 63, Novi Beograd ID#8121",162200.0,Beograd,Novi,53.0,2.0,VII/14,Ostalo,Ostalo,CG,0,0,3060.377
https://www.halooglasi.com/nekretnine/prodaja-stanova/troiposoban-svetao-lepi-pogledi/5425645935398?kid=4,"Troiposoban, svetao, lepi pogledi",255000.0,Beograd,Novi,88.0,3.5,X/15,Ostalo,Ostalo,CG,0,0,2897.727
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-stan-sa-pripadajucim-dvoristem-od-76-m-2/5425645688140?kid=4,Lux stan sa pripadajućim dvorištem od 76 M 2,150000.0,Beograd,Voždovac,40.0,1.5,VPR/4,Novogradnja,Lux,EG,0,1,3750.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/prilika-prelep-stan-top-lokacija-moguca-zamen/5425645895840?kid=4,"Prilika! Prelep stan, top lokacija, moguća zamena",180000.0,Beograd,Novi,63.0,4.0,V/5,Ostalo,Ostalo,CG,0,0,2857.143
https://www.halooglasi.com/nekretnine/prodaja-stanova/luks-apartman-45m-sa-saunom-bali-colloseum-ze/5425646054161?kid=4,Luks apartman 45m² sa saunom – Bali Colloseum Zemu,81000.0,Beograd,Zemun,45.0,1.0,II/5,Novogradnja,Lux,Norveški radijatori,0,1,1800.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/ljuba-vuckovica-vojvode-stepe-vozdovac-id7742/5425645642199?kid=4,"Ljuba Vučkovića, Vojvode Stepe, Voždovac ID#7742",179900.0,Beograd,Voždovac,66.0,3.5,II/8,Ostalo,Ostalo,Ostalo,0,0,2725.758
https://www.halooglasi.com/nekretnine/prodaja-stanova/jurija-gagarina-blok-63-novi-beograd-id8121/5425645884636?kid=4,"Jurija Gagarina, Blok 63, Novi Beograd ID#8121",162200.0,Beograd,Novi,53.0,2.0,VII/14,Ostalo,Ostalo,CG,0,0,3060.377
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-salonac---vlasnik---uknjizen/5425645983453?kid=4,Lux salonac - Vlasnik - Uknjižen,349000.0,Beograd,Stari grad,77.0,3.0,III/6,Stara gradnja,Lux,Toplotne pumpe,0,1,4532.468
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-lux-nekretnina/5425645783523?kid=4,Izuzetna Lux nekretnina,699000.0,Beograd,Čukarica,252.0,5.0,IV/8,Ostalo,Lux,CG,1,1,2773.81
https://www.halooglasi.com/nekretnine/prodaja-stanova/prilika-prelep-stan-top-lokacija-moguca-zamen/5425645895840?kid=4,"Prilika! Prelep stan, top lokacija, moguća zamena",180000.0,Beograd,Novi,63.0,4.0,V/5,Ostalo,Ostalo,CG,0,0,2857.143
https://www.halooglasi.com/nekretnine/prodaja-stanova/surcin-centar-novogradnja-useljiv-id6808/5425645424055?kid=4,"Surčin, Centar, novogradnja, useljiv ID#6808",118000.0,Beograd,Surčin,65.49,2.5,II/2,Novogradnja,Ostalo,EG,0,0,1801.802
https://www.halooglasi.com/nekretnine/prodaja-stanova/odlican-dvosoban-stan/5425645974893?kid=4,Odličan dvosoban stan,165000.0,Beograd,Voždovac,48.0,2.0,III/4,Ostalo,Ostalo,EG,0,0,3437.5
https://www.halooglasi.com/nekretnine/prodaja-stanova/brzo-useljiva-novogradnja-jugozapad-miran-kra/5425646039234,Brzo Useljiva Novogradnja. Jugozapad. Miran kraj,193622.0,Beograd,Voždovac,74.64,3.0,II/6,Novogradnja,Lux,Podno,1,1,2594.078
https://www.halooglasi.com/nekretnine/prodaja-stanova/lux-novogradnja-zatvoreni-kondominijum-jugoza/5425646054998,Lux Novogradnja. Zatvoreni Kondominijum. Jugozapad,188000.0,Beograd,Zemun,47.0,2.0,III/4,Novogradnja,Lux,CG,0,0,4000.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/apartman-35m-bali-colloseum-altina-lift-renta/5425646055679?kid=4,"Apartman 35m² – Bali Colloseum Altina, lift, renta",66500.0,Beograd,Zemun,35.0,0.5,II/5,Novogradnja,Lux,Norveški radijatori,0,1,1900.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/cetvorosoban-stan-na-prodaju/5425646055696?kid=4,Četvorosoban stan na prodaju,255000.0,Beograd,Savski venac,120.0,4.0,VII/7,Stara gradnja,Renovirano,CG,0,1,2125.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/surcin-centar-novogradnja-useljiv-id6808/5425645424055?kid=4,"Surčin, Centar, novogradnja, useljiv ID#6808",118000.0,Beograd,Surčin,65.49,2.5,II/2,Novogradnja,Ostalo,EG,0,0,1801.802
https://www.halooglasi.com/nekretnine/prodaja-stanova/ljuba-vuckovica-vojvode-stepe-vozdovac-id7742/5425645642199?kid=4,"Ljuba Vučkovića, Vojvode Stepe, Voždovac ID#7742",179900.0,Beograd,Voždovac,66.0,3.5,II/8,Ostalo,Ostalo,Ostalo,0,0,2725.758
https://www.halooglasi.com/nekretnine/prodaja-stanova/jurija-gagarina-blok-63-novi-beograd-id8121/5425645884636?kid=4,"Jurija Gagarina, Blok 63, Novi Beograd ID#8121",162200.0,Beograd,Novi,53.0,2.0,VII/14,Ostalo,Ostalo,CG,0,0,3060.377
https://www.halooglasi.com/nekretnine/prodaja-stanova/izuzetna-lux-nekretnina/5425645783523?kid=4,Izuzetna Lux nekretnina,699000.0,Beograd,Čukarica,252.0,5.0,IV/8,Ostalo,Lux,CG,1,1,2773.81
https://www.halooglasi.com/nekretnine/prodaja-stanova/altina-novogradnja/5425645985317?kid=4,Altina Novogradnja,51000.0,Beograd,Zemun,30.0,1.0,II/3,Novogradnja,Lux,EG,0,0,1700.0
https://www.halooglasi.com/nekretnine/prodaja-stanova/brzo-useljiva-novogradnja-jugozapad-miran-kra/5425646039234,Brzo Useljiva Novogradnja. Jugozapad. Miran kraj,193622.0,Beograd,Voždovac,74.64,3.0,II/6,Novogradnja,Lux,Podno,1,1,2594.078
https://www.halooglasi.com/nekretnine/prodaja-stanova/ekskluzivno-novogradnja-kod-bdp-a-bez-provizi/5425646049968,Ekskluzivno! Novogradnja kod BDP-a. Bez Provizije,227010.0,Beograd,Zvezdara,64.86,3.0,III/8,Novogradnja,Lux,EG,1,1,3500.0
